Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	138	384436016	slr1903	SYNGTS_0787	-	-	transposase	852031	852447	OF260
-	142	384436017	sll1792	SYNGTS_0788	-	-	transposase	852470	852898	OR1
-	128	384436018	sll1791	SYNGTS_0789	-	-	transposase	852895	853281	OR1
-	1317	384436019	rpoC2	SYNGTS_0790	-	-	DNA-directed RNA polymerase subunit beta'	853497	857450	OR1
-	1102	384436020	rpoB	SYNGTS_0791	-	-	DNA-directed RNA polymerase subunit beta	857558	860866	OR1
-	261	384436021	sll1786	SYNGTS_0792	-	-	hypothetical protein	860952	861737	OR1
-	97	384436022	rps20	SYNGTS_0793	-	-	30S ribosomal protein S20	861873	862166	OR1
-	1371	384436023	sll1124	SYNGTS_0794	-	-	sensory transduction histidine kinase PlpA/Hik3	862262	866377	OR1
-	256	384436024	sll1123	SYNGTS_0795	-	-	hypothetical protein	866374	867144	OR1
-	770	384436025	sll1121	SYNGTS_0796	-	-	hypothetical protein	867257	869569	OR1
-	1200	384436026	sll1120	SYNGTS_0797	-	-	chromosome segregation protein SMC1	869668	873270	OR1
-	361	384436027	sll1119	SYNGTS_0798	-	-	hypothetical protein	873465	874550	OR1
+	222	384436028	slr1194	SYNGTS_0799	-	-	hypothetical protein	874693	875361	OF260
+	154	384436029	slr1195	SYNGTS_0800	-	-	hypothetical protein	875515	875979	OF261
+	429	384436030	slr1196	SYNGTS_0801	-	-	hypothetical protein	876008	877297	OF261
+	398	384436031	slr1197	SYNGTS_0802	-	-	hypothetical protein	877325	878521	OF261
-	108	384436032	sll1118	SYNGTS_0803	-	-	hypothetical protein	878564	878890	OR1
+	90	384436033	ssr2009	SYNGTS_0804	-	-	hypothetical protein	878937	879209	OF261
+	211	384436034	slr1198	SYNGTS_0805	-	-	rehydrin	879408	880043	OF262
+	563	384436035	mutL	SYNGTS_0806	-	-	DNA mismatch repair protein	880147	881838	OF263
+	388	384436036	livH	SYNGTS_0807	-	-	urea transport system permease	882023	883189	OF264
+	410	384436037	slr1201	SYNGTS_0808	-	-	hypothetical protein	883287	884519	OF265
+	298	384436038	lacF	SYNGTS_0809	-	-	lactose transport system permease protein LacF	884635	885531	OF266
+	145	384436039	slr1203	SYNGTS_0810	-	-	hypothetical protein	885641	886078	OF267
+	419	384436040	htrA	SYNGTS_0811	-	-	serine protease	886283	887542	OF268
+	117	384436041	slr1205	SYNGTS_0812	-	-	Rieske (2Fe-2S) domain-containing protein	887731	888084	OF269
+	211	384436042	slr1206	SYNGTS_0813	-	-	hypothetical protein	888358	888993	OF270
+	514	384436043	slr1207	SYNGTS_0814	-	-	hypothetical protein	889061	890605	OF271
+	65	384436044	ssr2016	SYNGTS_0815	-	-	hypothetical protein	890827	891024	OF272
+	657	384436045	slr1208	SYNGTS_0816	-	-	short-chain alcohol dehydrogenase family	891276	893249	OF273
+	109	384436046	slr1209	SYNGTS_0817	-	-	hypothetical protein	893261	893590	OF273
+	129	384436047	slr1210	SYNGTS_0818	-	-	hypothetical protein	893583	893972	OF273
+	1092	384436048	cobN	SYNGTS_0819	-	-	cobalt-chelatase subunit CobN	893984	897262	OF273
+	844	384436049	ETR1	SYNGTS_0820	-	-	ethylene response sensor protein	897354	899888	OF273
+	241	384436050	slr1213	SYNGTS_0821	-	-	AraC subfamily protein Rre14	899937	900662	OF273
+	372	384436051	slr1214	SYNGTS_0822	-	-	PatA subfamily protein Rre15	901197	902315	OF273
+	222	384436052	slr1215	SYNGTS_0823	-	-	hypothetical protein	902387	903055	OF274
-	152	384436053	aroQ	SYNGTS_0824	-	-	carbonic 3-dehydroquinase	903148	903606	OR1
+	463	384436054	mgtE	SYNGTS_0825	-	-	Mg2+ transporter	904115	905506	OF275
-	404	384436055	sll1971	SYNGTS_0826	-	-	hypothetical protein	905575	906789	OR1
+	284	384436056	slr2070	SYNGTS_0827	-	-	hypothetical protein	906972	907826	OF276
+	107	384436057	slr2071	SYNGTS_0828	-	-	hypothetical protein	907990	908313	OF277
-	202	384436058	sll1969	SYNGTS_0829	-	-	hypothetical protein	908353	908961	OR1
-	171	384436059	pmgA	SYNGTS_0830	-	-	photomixotrophic growth-like protein	908968	909483	OR1
-	463	384436060	sll1967	SYNGTS_0831	-	-	hypothetical protein	909603	910994	OR1
+	508	384436061	ilvA	SYNGTS_0832	-	-	L-threonine deaminase	911357	912883	OF278
+	186	384436062	slr2073	SYNGTS_0833	-	-	hypothetical protein	913296	913856	OF279
+	129	384436063	manA	SYNGTS_0834	-	-	mannose-6-phosphate isomerase	914052	914441	OF280
-	136	384436064	sll1965	SYNGTS_0835	-	-	hypothetical protein	914780	915190	OR1
+	106	384436065	groES	SYNGTS_0836	-	-	10kD co-chaperonin GroES	915304	915624	OF281
+	541	384436066	groEL	SYNGTS_0837	-	-	60kDa chaperonin GroEL	915721	917346	OF282
+	732	384436067	slr2077	SYNGTS_0838	-	-	hypothetical protein	917816	920014	OF283
+	194	384436068	slr2078	SYNGTS_0839	-	-	hypothetical protein	920331	920915	OF284
-	84	384436069	ssl3712	SYNGTS_0840	-	-	hypothetical protein	920942	921196	OR1
-	362	384436070	aroC	SYNGTS_0841	-	-	chorismate synthase	921549	922637	OR1
-	128	384436071	rpl12	SYNGTS_0842	-	-	50S ribosomal protein L7/L12	922844	923230	OR1
-	173	384436072	rpl10	SYNGTS_0843	-	-	50S ribosomal protein L10	923318	923839	OR1
-	238	384436073	rpl1	SYNGTS_0844	-	-	50S ribosomal protein L1	924086	924802	OR1
-	141	384436074	rpl11	SYNGTS_0845	-	-	50S ribosomal protein L11	924889	925314	OR1
-	205	384436075	nusG	SYNGTS_0846	-	-	transcription antitermination protein NusG	925416	926033	OR1
-	81	384436076	secE	SYNGTS_0847	-	-	secretory protein SecE	926313	926558	OR1
-	122	384436077	rpl19	SYNGTS_0848	-	-	50S ribosomal protein L19	926860	927228	OR1
+	141	384436078	slr1826	SYNGTS_0849	-	-	hypothetical protein	927333	927758	OF285
+	263	384436079	slr1827	SYNGTS_0850	-	-	hypothetical protein	927959	928750	OF286
-	359	384436080	sll1739	SYNGTS_0851	-	-	hypothetical protein	928806	929885	OR1
-	231	384436081	sll1738	SYNGTS_0852	-	-	hypothetical protein	930148	930843	OR1
-	160	384436082	sll1737	SYNGTS_0853	-	-	hypothetical protein	930907	931389	OR1
+	106	384436083	petF	SYNGTS_0854	-	-	ferredoxin	931639	931959	OF287
+	330	384436084	slr1829	SYNGTS_0855	-	-	hypothetical protein	932071	933063	OF288
+	378	384436085	phbC	SYNGTS_0856	-	-	poly(3-hydroxyalkanoate) synthase	933157	934293	OF289
-	127	384436086	sll1736	SYNGTS_0857	-	-	hypothetical protein	934324	934707	OR1
-	133	384436087	sll1735	SYNGTS_0858	-	-	secreted protein MPB70	934835	935236	OR1
-	431	384436088	sll1734	SYNGTS_0859	-	-	hypothetical protein	935409	936704	OR1
-	502	384436089	ndhD3	SYNGTS_0860	-	-	NADH dehydrogenase subunit 4	936768	938276	OR1
-	615	384436090	ndhF3	SYNGTS_0861	-	-	NADH dehydrogenase subunit 5	938393	940240	OR1
-	210	384436091	sll1730	SYNGTS_0862	-	-	hypothetical protein	940638	941270	OR1
+	751	384436092	psaA	SYNGTS_0863	-	-	photosystem I P700 chlorophyll a apoprotein A1	941686	943941	OF290
+	731	384436093	psaB	SYNGTS_0864	-	-	photosystem I P700 chlorophyll a apoprotein A2	944187	946382	OF291
-	329	384436094	sll1726	SYNGTS_0865	-	-	hypothetical protein	946522	947511	OR1
-	610	384436095	sll1725	SYNGTS_0866	-	-	ABC transporter	947511	949343	OR1
-	379	384436096	icsA	SYNGTS_0867	-	-	LPS glycosyltransferase	949397	950536	OR1
-	413	384436097	sll1723	SYNGTS_0868	-	-	hypothetical protein	950533	951774	OR1
-	433	384436098	sll1722	SYNGTS_0869	-	-	hypothetical protein	951797	953098	OR1
+	234	384436099	slr1837	SYNGTS_0870	-	-	OmpR subfamily protein ManR/Rre16	953752	954456	OF292
-	324	384436100	pdhB	SYNGTS_0871	-	-	Pyruvate dehydrogenase E1 component subunit beta	954453	955427	OR1
+	103	384436101	ccmK	SYNGTS_0872	-	-	carbon dioxide concentrating mechanism protein CcmK	955805	956116	OF293
+	112	384436102	ccmK	SYNGTS_0873	-	-	carbon dioxide concentrating mechanism protein CcmK	956275	956613	OF294
+	371	384436103	slr1840	SYNGTS_0874	-	-	hypothetical protein	956673	957788	OF295
+	630	384436104	slr1841	SYNGTS_0875	-	-	hypothetical protein	958137	960029	OF296
+	312	384436105	cysK	SYNGTS_0876	-	-	cysteine synthase	960156	961094	OF297
+	509	384436106	zwf	SYNGTS_0877	-	-	glucose 6-phosphate dehydrogenase	961201	962730	OF298
+	970	384436107	uvrA	SYNGTS_0878	-	-	excinuclease ABC subunit A	962888	965800	OF299
-	511	384436108	sll1717	SYNGTS_0879	-	-	hypothetical protein	965938	967473	OR1
-	261	384436109	sll1716	SYNGTS_0880	-	-	transposase	967567	968352	OR1
-	157	384436110	sll1715	SYNGTS_0881	-	-	hypothetical protein	968487	968960	OR1
-	133	384436111	sll1714	SYNGTS_0882	-	-	hypothetical protein	968893	969294	OR1
-	368	384436112	hisC	SYNGTS_0883	-	-	histidinol-phosphate aminotransferase	969762	970868	OR1
-	100	384436113	hupA	SYNGTS_0884	-	-	DNA binding protein HU	970882	971184	OR1
-	285	384436114	sll1469	SYNGTS_0885	-	-	hypothetical protein	971460	972317	OR1
+	489	384436115	slr1535	SYNGTS_0886	-	-	hypothetical protein	972485	973954	OF300
+	478	384436116	recQ	SYNGTS_0887	-	-	ATP-dependent DNA helicase RecQ	974053	975489	OF301
+	289	384436117	slr1537	SYNGTS_0888	-	-	hypothetical protein	975779	976648	OF302
+	364	384436118	cbiD	SYNGTS_0889	-	-	cobalt-precorrin-6A synthase	976748	977842	OF303
+	311	384436119	slr1540	SYNGTS_0890	-	-	hypothetical protein	977932	978867	OF304
+	210	384436120	slr1541	SYNGTS_0891	-	-	hypothetical protein	978941	979573	OF305
+	161	384436121	ispF	SYNGTS_0892	-	-	2-C-methyl-D-erythritol 2,4-cyclo diphosphate synthase	979685	980170	OF306
+	472	384436122	slr1543	SYNGTS_0893	-	-	DNA-damage-inducible protein	980276	981694	OF307
-	312	384436123	bhy	SYNGTS_0894	-	-	b-carotene hydroxylase	981691	982629	OR1
+	70	384436124	ssr2595	SYNGTS_0895	-	-	high light inducible protein	982968	983180	OF308
+	103	384436125	slr1544	SYNGTS_0896	-	-	hypothetical protein	983229	983540	OF308
+	223	384436126	rpoE	SYNGTS_0897	-	-	RNA polymerase sigma-E factor	983804	984475	OF308
+	212	384436127	slr1546	SYNGTS_0898	-	-	hypothetical protein	984562	985200	OF309
+	332	384436128	slr1547	SYNGTS_0899	-	-	hypothetical protein	985224	986222	OF309
-	413	384436129	sll1466	SYNGTS_0900	-	-	hypothetical protein	986492	987733	OR1
-	75	384436130	ssl2823	SYNGTS_0901	-	-	hypothetical protein	987740	987967	OR1
-	477	384436131	sll1464	SYNGTS_0902	-	-	hypothetical protein	988072	989505	OR1
-	628	384436132	ftsH	SYNGTS_0903	-	-	cell division protein FtsH	989717	991603	OR1
-	345	384436133	hypE	SYNGTS_0904	-	-	hydrogenase expression/formation protein HypE	991735	992772	OR1
-	220	384436134	sll1461	SYNGTS_0905	-	-	hypothetical protein	992821	993483	OR1
-	225	384436135	surE	SYNGTS_0906	-	-	stationary phase survival protein SurE	993536	994213	OR1
+	187	384436136	def	SYNGTS_0907	-	-	polypeptide deformylase	994343	994906	OF309
+	65	384436137	ssr2611	SYNGTS_0908	-	-	hypothetical protein	995022	995219	OF310
+	510	384436138	lysS	SYNGTS_0909	-	-	lysyl-tRNA synthetase	995275	996807	OF311
-	318	384436139	rfbJ	SYNGTS_0910	-	-	RfbJ protein	996850	997806	OR1
-	302	384436140	sll1456	SYNGTS_0911	-	-	hypothetical protein	998010	998918	OR1
+	844	384436141	slr1552	SYNGTS_0912	-	-	hypothetical protein	999029	1001563	OF312
-	155	384436142	sll1455	SYNGTS_0913	-	-	hypothetical protein	1001639	1002106	OR1
-	714	384436143	narB	SYNGTS_0914	-	-	nitrate reductase	1002633	1004777	OR1
-	332	384436144	nrtD	SYNGTS_0915	-	-	nitrate transport protein subunit NrtD	1005181	1006179	OR1
-	670	384436145	nrtC	SYNGTS_0916	-	-	nitrate transport protein subunit NrtC	1006234	1008246	OR1
-	275	384436146	nrtB	SYNGTS_0917	-	-	nitrate transport protein subunit NrtB	1008321	1009148	OR1
-	446	384436147	nrtA	SYNGTS_0918	-	-	nitrate transport 45kD protein	1009234	1010574	OR1
-	349	384436148	sll1634	SYNGTS_0919	-	-	hypothetical protein	1010710	1011759	OR1
+	214	384436149	slr1748	SYNGTS_0920	-	-	hypothetical protein	1011975	1012619	OF313
-	90	384436150	repA	SYNGTS_0921	-	-	rare lipoprotein A	1012616	1012888	OR1
-	430	384436151	ftsZ	SYNGTS_0922	-	-	cell division protein FtsZ	1013045	1014337	OR1
-	269	384436152	sll1632	SYNGTS_0923	-	-	hypothetical protein	1014587	1015396	OR1
+	423	384436153	prc	SYNGTS_0924	-	-	carboxyl-terminal protease	1015511	1016782	OF314
+	221	384436154	slr1752	SYNGTS_0925	-	-	hypothetical protein	1016830	1017495	OF314
-	297	384436155	mraW	SYNGTS_0926	-	-	S-adenosyl-methyltransferase MraW	1017600	1018493	OR1
+	158	384436156	slr1218	SYNGTS_0927	-	-	hypothetical protein	1018650	1019126	OF314
+	142	384436157	ureE	SYNGTS_0928	-	-	urease accessory protein E	1019155	1019583	OF314
+	317	384436158	slr1220	SYNGTS_0929	-	-	hypothetical protein	1019808	1020761	OF314
+	195	384436159	slr1222	SYNGTS_0930	-	-	hypothetical protein	1021421	1022008	OF315
-	793	384436160	uvrD	SYNGTS_0931	-	-	DNA helicase II	1022278	1024659	OR1
-	173	384436161	sll1142	SYNGTS_0932	-	-	hypothetical protein	1024825	1025346	OR1
+	307	384436162	sulA	SYNGTS_0933	-	-	putative cell division inhibitor SulA	1025519	1026442	OF316
+	408	384436163	malK	SYNGTS_0934	-	-	cytoplasmic membrane protein for maltose uptake	1026511	1027737	OF317
+	495	384436164	pknA	SYNGTS_0935	-	-	protein kinase PknA	1027844	1029331	OF318
-	248	384436165	sll1138	SYNGTS_0936	-	-	hypothetical protein	1029337	1030083	OR1
+	248	384436166	purC	SYNGTS_0937	-	-	phosphoribosyl aminoidazole succinocarboxamide synthetase	1030243	1030989	OF319
+	861	384436167	IAP75	SYNGTS_0938	-	-	chloroplast import-associated channel IAP75	1031202	1033787	OF320
+	547	384436168	prfC	SYNGTS_0939	-	-	peptide-chain-release factor 3	1033902	1035545	OF321
+	498	384436169	slr1229	SYNGTS_0940	-	-	hypothetical protein	1035593	1037089	OF321
+	287	384436170	slr1230	SYNGTS_0941	-	-	hypothetical protein	1037189	1038052	OF321
-	334	384436171	sll1135	SYNGTS_0942	-	-	hypothetical protein	1038038	1039042	OR1
+	178	384436172	slr1232	SYNGTS_0943	-	-	hypothetical protein	1039196	1039732	OF322
+	87	384436173	ssr2047	SYNGTS_0944	-	-	hypothetical protein	1040092	1040355	OF323
+	575	384436174	frdA	SYNGTS_0945	-	-	succinate dehydrogenase flavoprotein subunit	1040531	1042258	OF324
+	55	384436175	ssr2049	SYNGTS_0946	-	-	hypothetical protein	1042390	1042557	OF325
+	114	384436176	slr1234	SYNGTS_0947	-	-	protein kinase C inhibitor	1042609	1042953	OF326
+	293	384436177	slr1235	SYNGTS_0948	-	-	hypothetical protein	1042999	1043880	OF326
+	177	384436178	slr1236	SYNGTS_0949	-	-	hypothetical protein	1043917	1044450	OF326
-	58	384436179	ssl2250	SYNGTS_0950	-	-	glycoprotein	1044517	1044693	OR1
-	483	384436180	sll1132	SYNGTS_0951	-	-	hypothetical protein	1044915	1046366	OR1
-	142	384436181	sll1131	SYNGTS_0952	-	-	hypothetical protein	1046402	1046830	OR1
+	450	384436182	codA	SYNGTS_0953	-	-	cytosine deaminase	1047005	1048357	OF326
-	115	384436183	sll1130	SYNGTS_0954	-	-	hypothetical protein	1048406	1048753	OR1
-	88	384436184	ssl2245	SYNGTS_0955	-	-	hypothetical protein	1048750	1049016	OR1
-	296	384436185	todF	SYNGTS_0956	-	-	2-hydroxy-6-oxohepta-2,4-dienoate hydrolase	1049517	1050407	OR1
+	79	384436186	ssr2060	SYNGTS_0957	-	-	hypothetical protein	1050490	1050729	OF327
+	88	384436187	grxC	SYNGTS_0958	-	-	glutaredoxin 3	1050812	1051078	OF328
+	320	384436188	gshB	SYNGTS_0959	-	-	glutathione synthetase	1051159	1052121	OF329
+	88	384436189	ssr2062	SYNGTS_0960	-	-	hypothetical protein	1052518	1052784	OF330
-	275	384436190	menB	SYNGTS_0961	-	-	naphthoate synthase	1052927	1053754	OR1
+	530	384436191	pntA	SYNGTS_0962	-	-	NAD(P) transhydrogenase subunit alpha	1053955	1055547	OF331
+	179	384436192	slr1240	SYNGTS_0963	-	-	hypothetical protein	1055574	1056113	OF331
+	115	384436193	slr1241	SYNGTS_0964	-	-	hypothetical protein	1056119	1056466	OF331
+	76	384436194	ssr2067	SYNGTS_0965	-	-	hypothetical protein	1056714	1056944	OF331
+	480	384436195	pntB	SYNGTS_0966	-	-	pyridine nucleotide transhydrogenase subunit beta	1056985	1058427	OF331
+	427	384436196	pmbA	SYNGTS_0967	-	-	PmbA protein	1058537	1059820	OF331
+	283	384436197	slr1436	SYNGTS_0968	-	-	hypothetical protein	1059922	1060773	OF332
+	112	384436198	slr1437	SYNGTS_0969	-	-	hypothetical protein	1060901	1061239	OF333
+	289	384436199	slr1438	SYNGTS_0970	-	-	hypothetical protein	1061242	1062111	OF333
-	988	384436200	ileS	SYNGTS_0971	-	-	isoleucyl-tRNA synthetase	1062238	1065204	OR1
+	74	384436201	ssr2406	SYNGTS_0972	-	-	hypothetical protein	1065398	1065622	OF333
-	1116	384436202	dnaX	SYNGTS_0973	-	-	DNA polymerase III subunit	1065660	1069010	OR1
+	143	384436203	slr1440	SYNGTS_0974	-	-	hypothetical protein	1069178	1069609	OF334
-	678	384436204	sll1359	SYNGTS_0975	-	-	hypothetical protein	1069666	1071702	OR1
-	394	384436205	sll1358	SYNGTS_0976	-	-	hypothetical protein	1071734	1072918	OR1
-	849	384436206	glgP	SYNGTS_0977	-	-	glycogen phosphorylase	1073080	1075629	OR1
+	129	384436207	slr1441	SYNGTS_0978	-	-	hypothetical protein	1076065	1076454	OF335
-	181	384436208	sll1355	SYNGTS_0979	-	-	hypothetical protein	1076474	1077019	OR1
+	285	384436209	slr1442	SYNGTS_0980	-	-	hypothetical protein	1077755	1078612	OF336
+	614	384436210	pknA	SYNGTS_0981	-	-	protein kinase PknA	1078657	1080501	OF336
+	333	384436211	slr1444	SYNGTS_0982	-	-	hypothetical protein	1080695	1081696	OF336
+	84	384436212	ssr2422	SYNGTS_0983	-	-	hypothetical protein	1081887	1082141	OF337
-	759	384436213	recJ	SYNGTS_0984	-	-	ssDNA-specific exonuclease RecJ	1082437	1084716	OR1
-	998	384436214	sll1353	SYNGTS_0985	-	-	sensory transduction histidine kinase Hik15	1084757	1087753	OR1
-	472	384436215	sll1352	SYNGTS_0986	-	-	hypothetical protein	1087772	1089190	OR1
+	307	384436216	cscK	SYNGTS_0987	-	-	fructokinase	1089400	1090323	OF338
+	199	384436217	slr1449	SYNGTS_0988	-	-	hypothetical protein	1090680	1091279	OF339
+	104	384436218	slr1450	SYNGTS_0989	-	-	hypothetical protein	1091317	1091631	OF339
-	398	384436219	sll1350	SYNGTS_0990	-	-	hypothetical protein	1091698	1092894	OR1
-	221	384436220	cbbZp	SYNGTS_0991	-	-	phosphoglycolate phosphatase	1092925	1093590	OR1
-	289	384436221	sll1348	SYNGTS_0992	-	-	hypothetical protein	1093626	1094495	OR1
-	164	384436222	ribH	SYNGTS_0993	-	-	riboflavin synthase beta subunit	1094649	1095143	OR1
-	62	384436223	psbZ	SYNGTS_0994	-	-	photosystem II reaction center protein Z	1095248	1095436	OR1
-	303	384436224	sll1280	SYNGTS_0995	-	-	hypothetical protein	1095772	1096683	OR1
+	328	384436225	rps1	SYNGTS_0996	-	-	30S ribosomal protein S1	1097077	1098063	OF339
+	282	384436226	slr1357	SYNGTS_0997	-	-	transposase	1098323	1099171	OF340
-	384	384436227	recF	SYNGTS_0998	-	-	RecF protein	1099214	1100368	OR1
-	534	384436228	sll1276	SYNGTS_0999	-	-	ABC transporter	1100410	1102014	OR1
-	591	384436229	pykF	SYNGTS_1000	-	-	pyruvate kinase	1102283	1104058	OR1
+	133	384436230	slr1362	SYNGTS_1001	-	-	hypothetical protein	1104246	1104647	OF341
-	171	384436231	sll1274	SYNGTS_1002	-	-	hypothetical protein	1105030	1105545	OR1
+	500	384436232	slr1363	SYNGTS_1003	-	-	hypothetical protein	1105666	1107168	OF342
+	362	384436233	bioB	SYNGTS_1004	-	-	biotin synthetase	1107242	1108330	OF343
+	217	384436234	bioY	SYNGTS_1005	-	-	BioY protein	1108314	1108967	OF343
+	161	384436235	lspA	SYNGTS_1006	-	-	lipoprotein signal peptidase	1108967	1109452	OF343
-	474	384436236	sll1273	SYNGTS_1007	-	-	hypothetical protein	1109620	1111044	OR1
-	256	384436237	sll1272	SYNGTS_1008	-	-	hypothetical protein	1111185	1111955	OR1
-	572	384436238	sll1271	SYNGTS_1009	-	-	hypothetical protein	1112531	1114249	OR1
-	530	384436239	glnHP	SYNGTS_1010	-	-	ABC-type transporter protein	1114429	1116021	OR1
-	89	384436240	ssl2501	SYNGTS_1011	-	-	hypothetical protein	1116360	1116629	OR1
+	855	384436241	glgP	SYNGTS_1012	-	-	glycogen phosphorylase	1117107	1119674	OF343
+	197	384436242	cobL	SYNGTS_1013	-	-	precorrin-6B methylase	1119916	1120509	OF344
+	293	384436243	cdsA	SYNGTS_1014	-	-	phosphatidate cytidylyltransferase	1120643	1121524	OF345
-	517	384436244	sll1268	SYNGTS_1015	-	-	hypothetical protein	1121627	1123180	OR1
-	196	384436245	sll1267	SYNGTS_1016	-	-	hypothetical protein	1123441	1124031	OR1
-	1978	384436246	sll1265	SYNGTS_1017	-	-	hypothetical protein	1124071	1130007	OR1
-	456	384436247	sll0877	SYNGTS_1018	-	-	hypothetical protein	1130313	1131683	OR1
+	145	384436248	mscL	SYNGTS_1019	-	-	large-conductance mechanosensitive channel	1131810	1132247	OF346
-	211	384436249	ruvA	SYNGTS_1020	-	-	Holliday junction DNA helicase	1132264	1132899	OR1
-	258	384436250	sll0875	SYNGTS_1021	-	-	hypothetical protein	1132914	1133690	OR1
+	409	384436251	slr0876	SYNGTS_1022	-	-	hypothetical protein	1133879	1135108	OF347
+	83	384436252	ssr1480	SYNGTS_1023	-	-	RNA-binding protein	1135337	1135588	OF348
+	483	384436253	gatA	SYNGTS_1024	-	-	glutamyl-tRNA(Gln) amidotransferase subunit A	1135716	1137167	OF349
+	245	384436254	slr0878	SYNGTS_1025	-	-	hypothetical protein	1137375	1138112	OF350
+	132	384436255	gcvH	SYNGTS_1026	-	-	glycine decarboxylase complex H-protein	1138210	1138608	OF351
+	590	384436256	slr0880	SYNGTS_1027	-	-	secreted protein MPB70	1138702	1140474	OF352
-	387	384436257	napC	SYNGTS_1028	-	-	carboxynorspermidine decarboxylase	1140497	1141660	OR1
-	70	384436258	ssl1633	SYNGTS_1029	-	-	CAB/ELIP/HLIP superfamily protein	1141803	1142015	OR1
+	103	384436259	slr0881	SYNGTS_1030	-	-	hypothetical protein	1142101	1142412	OF353
-	130	384436260	sll0872	SYNGTS_1031	-	-	hypothetical protein	1142501	1142893	OR1
+	394	384436261	slr0882	SYNGTS_1032	-	-	hypothetical protein	1143047	1144231	OF354
+	481	384436262	psr	SYNGTS_1033	-	-	regulation of penicillin binding protein 5 production	1144728	1146173	OF355
-	142	384436263	sll0871	SYNGTS_1034	-	-	hypothetical protein	1146290	1146718	OR1
+	339	384436264	gap1	SYNGTS_1035	-	-	glyceraldehyde 3-phosphate dehydrogenase	1147079	1148098	OF356
+	191	384436265	slr0885	SYNGTS_1036	-	-	hypothetical protein	1148722	1149297	OF357
-	198	384436266	aat	SYNGTS_1037	-	-	Leu/Phe-tRNA-protein transferase	1149471	1150067	OR1
-	303	384436267	lipA	SYNGTS_1038	-	-	lipoic acid synthetase	1150122	1151033	OR1
-	430	384436268	sll0867	SYNGTS_1039	-	-	hypothetical protein	1151139	1152431	OR1
+	247	384436269	fabG	SYNGTS_1040	-	-	3-oxoacyl-ACP reductase	1152549	1153292	OF358
+	269	384436270	slr0887	SYNGTS_1041	-	-	hypothetical protein	1153292	1154101	OF358
+	168	384436271	slr0888	SYNGTS_1042	-	-	hypothetical protein	1154330	1154836	OF358
+	408	384436272	slr0889	SYNGTS_1043	-	-	ABC1-like	1154857	1156083	OF358
+	89	384436273	ssr1499	SYNGTS_1044	-	-	hypothetical protein	1156234	1156503	OF358
+	131	384436274	slr0890	SYNGTS_1045	-	-	hypothetical protein	1156580	1156975	OF359
-	626	384436275	uvrC	SYNGTS_1046	-	-	excinuclease ABC subunit C	1157029	1158909	OR1
+	591	384436276	amiA	SYNGTS_1047	-	-	N-acetylmuramoyl-L-alanine amidase	1159029	1160804	OF360
-	157	384436277	sll0864	SYNGTS_1048	-	-	hypothetical protein	1160787	1161260	OR1
-	133	384436278	sll0863	SYNGTS_1049	-	-	hypothetical protein	1161441	1161842	OR1
-	503	384436279	sll0862	SYNGTS_1050	-	-	hypothetical protein	1161856	1163367	OR1
-	305	384436280	murQ	SYNGTS_1051	-	-	N-acetylmuramic acid 6-phosphate etherase	1163421	1164338	OR1
-	173	384436281	sll0860	SYNGTS_1052	-	-	hypothetical protein	1164496	1165017	OR1
-	328	384436282	petA	SYNGTS_1053	-	-	apocytochrome f	1165087	1166073	OR1
-	192	384436283	petC	SYNGTS_1054	-	-	cytochrome B6-f complex iron-sulfur subunit	1166186	1166764	OR1
-	64	384436284	psbH	SYNGTS_1055	-	-	photosystem II PsbH protein	1167053	1167247	OR1
+	43	384436285	psbN	SYNGTS_1056	-	-	photosystem II PsbN protein	1167333	1167464	OF361
-	89	384436286	hliB	SYNGTS_1057	-	-	YciI-like-protein	1167510	1167779	OR1
-	352	384436287	sll1315	SYNGTS_1058	-	-	hypothetical protein	1167961	1169019	OR1
-	369	384436288	dctP	SYNGTS_1059	-	-	C4-dicarboxylase binding protein	1169078	1170187	OR1
+	3016	384436289	slr1403	SYNGTS_1060	-	-	integrin alpha- and beta4- subunit domain-containing protein	1170571	1179621	OF362
-	248	384436290	sll1308	SYNGTS_1061	-	-	hypothetical protein	1179926	1180672	OR1
+	181	384436291	slr1406	SYNGTS_1062	-	-	hypothetical protein	1181064	1181609	OF363
+	289	384436292	slr1407	SYNGTS_1063	-	-	hypothetical protein	1181716	1182585	OF364
+	326	384436293	slr1409	SYNGTS_1064	-	-	beta transducin-like protein	1182665	1183645	OF365
+	334	384436294	slr1410	SYNGTS_1065	-	-	beta transducin-like protein	1183660	1184664	OF365
-	175	384436295	sll1307	SYNGTS_1066	-	-	hypothetical protein	1184711	1185238	OR1
-	335	384436296	sll1306	SYNGTS_1067	-	-	hypothetical protein	1185300	1186307	OR1
-	295	384436297	sll1305	SYNGTS_1068	-	-	hypothetical protein	1186311	1187198	OR1
-	287	384436298	sll1304	SYNGTS_1069	-	-	hypothetical protein	1187219	1188082	OR1
-	268	384436299	sll1785	SYNGTS_1070	-	-	hypothetical protein	1188079	1188885	OR1
-	267	384436300	sll1784	SYNGTS_1071	-	-	hypothetical protein	1189110	1189913	OR1
-	147	384436301	sll1783	SYNGTS_1072	-	-	hypothetical protein	1189940	1190383	OR1
