Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
-	641	15789650	epf2	VNG0401G	-	COG0054H	mRNA 3'-end processing factor-like protein	307290	309215	OR1
-	50	15789651	-	VNG0402H	-	-	hypothetical protein	309533	309685	OR1
+	501	161349985	proS	VNG0403G	-	COG0442J	prolyl-tRNA synthetase	309807	311312	OF75
+	176	15789653	-	VNG0404H	-	-	hypothetical protein	311391	311921	OF76
+	329	15789654	-	VNG0405C	-	COG0451MG	hypothetical protein	311957	312946	OF76
+	352	15789655	egsA	VNG0406C	-	COG0371C	NAD(P)-dependent glycerol-1-phosphate dehydrogenase	313105	314163	OF76
-	271	15789656	-	VNG0407H	-	COG0392S	hypothetical protein	314156	314971	OR1
-	356	15789657	-	VNG0408H	-	COG0501O	hypothetical protein	315206	316276	OR1
-	598	15789658	-	VNG0409C	-	COG1506E	hypothetical protein	316309	318105	OR1
+	355	15789659	rfbU2	VNG0410G	-	COG0438M	LPS biosynthesis protein	318208	319275	OF77
-	815	15789660	folP	VNG0412G	-	COG0285H	hypothetical protein	319297	321744	OR1
-	595	15789661	purH	VNG0414G	-	COG0138F	hypothetical protein	321793	323580	OR1
+	495	15789662	purB	VNG0415G	-	COG0015F	adenylosuccinate lyase	323468	324955	OF78
+	213	15789663	-	VNG0417H	-	COG2129R	hypothetical protein	325020	325661	OF79
+	165	15789664	-	VNG0419C	-	COG1432S	hypothetical protein	325698	326195	OF79
-	62	15789665	-	VNG0420H	-	-	hypothetical protein	326196	326384	OR1
+	159	15789666	-	VNG0421C	-	COG1370O	hypothetical protein	326468	326947	OF79
-	405	15789667	cyc	VNG0422G	-	COG2124Q	cytochrome P450	326955	328172	OR1
+	130	15789668	nac	VNG0424C	-	COG1308K	nascent polypeptide-associated complex protein	328415	328807	OF80
+	238	15789669	pimT2	VNG0425G	-	COG2519J	L-isoaspartyl protein carboxyl methyltransferase	328807	329523	OF80
-	104	15789670	rpoM	VNG0426G	-	COG1594K	DNA-directed RNA-polymerase subunit M	329653	329967	OR1
+	420	15789671	yfmO2	VNG0427G	-	COG2814G	multidrug resistance protein-like protein	330079	331341	OF80
-	256	15789672	fad2	VNG0428G	-	COG1024I	enoyl-CoA hydratase	331342	332112	OR1
+	161	15789673	-	VNG0429H	-	-	hypothetical protein	332196	332681	OF81
-	216	15789674	-	VNG0430H	-	-	hypothetical protein	332688	333338	OR1
-	142	15789675	apa	VNG0431G	-	COG0494LR	diadenosine tetraphosphate pyrophosphohydrolase	333816	334244	OR1
+	111	15789676	-	VNG0433C	-	COG0051J	hypothetical protein	334368	334703	OF82
-	88	15789677	-	VNG0435H	-	-	hypothetical protein	334798	335064	OR1
-	521	15789678	nhaC1	VNG0436G	-	COG1757C	Na+/H+ antiporter	335061	336626	OR1
+	426	15789679	-	VNG0437C	-	COG1473R	hypothetical protein	336723	338003	OF83
-	456	15789680	-	VNG0439C	-	COG0644C	hypothetical protein	338014	339384	OR1
+	109	15789681	ferA3	VNG0438G	-	COG0633C	ferredoxin	339490	339819	OF84
-	376	15789682	-	VNG0440C	-	COG0491R	hypothetical protein	339822	340952	OR1
+	211	15789683	-	VNG0441H	-	-	hypothetical protein	341012	341647	OF85
-	412	15789684	rspA	VNG0442G	-	COG4948MR	hypothetical protein	341670	342908	OR1
-	313	15789685	dapA	VNG0444G	-	COG0329EM	hypothetical protein	342946	343887	OR1
-	402	15789686	-	VNG0447H	-	COG0561R	hypothetical protein	343909	345117	OR1
+	356	15789687	gcd	VNG0446G	-	COG1063ER	glucose dehydrogenase	345205	346275	OF86
+	212	15789688	pyrE1	VNG0448G	-	COG0856F	orotate phosphoribosyltransferase-like protein	346272	346910	OF86
+	125	15789689	-	VNG0450C	-	COG0278O	hypothetical protein	346978	347355	OF86
-	207	15789690	phoU	VNG0451G	-	COG0704P	hypothetical protein	347367	347990	OR1
-	281	15789691	pstB2	VNG0452G	-	COG1117P	phosphate ABC transporter ATP-binding protein	348053	348898	OR1
-	566	15789692	pstA2	VNG0453G	-	COG0581P	phosphate ABC transporter permease	348905	350605	OR1
-	319	15789693	pstC2	VNG0455G	-	COG0573P	phosphate ABC transporter permease	350607	351566	OR1
-	344	15789694	phoX	VNG0457G	-	COG0226P	phosphate ABC transporter periplasmic phosphate-binding protein	351622	352656	OR1
+	334	15789695	prp1	VNG0458G	-	COG0704P	phosphate regulatory protein-like protein	352883	353887	OF87
+	323	15789696	nodP	VNG0459G	-	COG0175EH	nodulation protein	353960	354931	OF88
+	436	15789697	aspS	VNG0461G	-	COG0017J	aspartyl-tRNA synthetase	355258	356568	OF89
-	94	15789698	-	VNG0462C	-	COG1846K	hypothetical protein	356605	356889	OR1
-	205	15789699	-	VNG0463C	-	-	hypothetical protein	356891	357508	OR1
-	296	16554469	nosF2	VNG0465Gm	-	COG1131V	copper transport ATP-binding protein	357501	358391	OR1
-	283	15789701	-	VNG0466C	-	-	hypothetical protein	358388	359239	OR1
-	277	15789702	yafB	VNG0467G	-	COG0656R	aldehyde reductase	359388	360221	OR1
-	410	15789703	-	VNG0468C	-	COG0644C	hypothetical protein	360279	361511	OR1
-	560	15789704	-	VNG0469H	-	-	hypothetical protein	361705	363387	OR1
-	252	15789705	trp3	VNG0470G	-	COG1131V	daunorubicin resistance ABC transporter ATP-binding protein	363359	364117	OR1
-	66	15789706	-	VNG0471C	-	COG1476K	hypothetical protein	364276	364476	OR1
-	138	15789707	-	VNG0472H	-	-	hypothetical protein	364473	364889	OR1
-	289	15789708	porB	VNG0473G	-	COG1013C	2-oxoglutarate ferredoxin oxidoreductase subunit beta	365304	366173	OR1
-	582	15789709	porA	VNG0474G	-	COG0674C	hypothetical protein	366170	367918	OR1
+	214	15789710	-	VNG0475C	-	COG1018C	hypothetical protein	368167	368811	OF90
+	133	16554470	-	VNG0475a	-	COG1051F	NTP pyrophosphohydrolase	369003	369404	OF91
-	138	15789711	-	VNG0478C	-	COG3185ER	hypothetical protein	369409	369825	OR1
-	316	15789712	yajO1	VNG0479G	-	COG1028IQR	oxidoreductase	369837	370787	OR1
-	653	15789713	mcmA1	VNG0481G	-	COG1884I	methylmalonyl-CoA mutase subunit alpha	370841	372802	OR1
-	189	15789714	-	VNG0482H	-	COG1246E	hypothetical protein	372939	373508	OR1
-	394	15789715	-	VNG0483C	-	COG2834M	hypothetical protein	373577	374761	OR1
+	656	15789716	acs1	VNG0484G	-	COG0365I	acetyl-CoA synthetase	374853	376823	OF92
-	129	15789717	-	VNG0485H	-	-	hypothetical protein	376820	377209	OR1
-	191	15789718	hat1	VNG0486G	-	COG1670J	acetyltransferase	377233	377808	OR1
-	257	15789719	-	VNG0487H	-	COG1670J	hypothetical protein	377808	378581	OR1
-	234	15789720	-	VNG0488H	-	COG0318IQ	hypothetical protein	378529	379233	OR1
-	391	15789721	dnaJ	VNG0489G	-	COG0484O	hypothetical protein	379302	380477	OR1
-	629	15789722	dnaK	VNG0491G	-	COG0443O	heat shock protein	380553	382442	OR1
-	231	15789723	-	VNG0492H	-	COG3208Q	hypothetical protein	382599	383294	OR1
-	217	15789724	grpE	VNG0494G	-	COG0576O	hypothetical protein	383334	383987	OR1
-	127	15789725	-	VNG0496H	-	-	hypothetical protein	384063	384446	OR1
-	168	15789726	-	VNG0498C	-	COG3270S	hypothetical protein	384499	385005	OR1
-	303	15789727	cna	VNG0499G	-	COG0144J	proliferating-cell nucleolar antigen	385002	385913	OR1
+	248	15789728	ppd	VNG0500G	-	COG1938R	3-isopropylmalate dehydratase	386009	386755	OF93
-	412	15789729	yfmO1	VNG0501G	-	COG2814G	multidrug resistance protein-like protein	386766	388004	OR1
+	373	15789730	aspB1	VNG0502G	-	COG0436E	aspartate aminotransferase	388169	389290	OF94
+	262	15789731	-	VNG0503C	-	COG2226H	hypothetical protein	389355	390143	OF95
-	393	15789732	gbp5	VNG0504G	-	COG0012J	translation-associated GTPase	390140	391321	OR1
+	366	15789733	-	VNG0505C	-	COG1253R	hypothetical protein	391432	392532	OF96
-	43	15789734	-	VNG0506H	-	-	hypothetical protein	392529	392660	OR1
-	290	15789735	-	VNG0507C	-	COG4801R	hypothetical protein	392861	393733	OR1
+	65	15789736	-	VNG0508H	-	-	hypothetical protein	393802	393999	OF97
+	45	15789737	-	VNG0509H	-	-	hypothetical protein	394049	394186	OF97
-	368	15789738	prrIV2	VNG0510G	-	COG1222O	proteasome-activating nucleotidase	394230	395336	OR1
+	76	15789739	-	VNG0511H	-	-	hypothetical protein	395657	395887	OF97
+	387	15789740	ppe	VNG0512G	-	COG0420L	DNA double-strand break repair protein	395945	397108	OF98
+	883	15789741	-	VNG0514C	-	COG0419L	chromosome segregation protein	397105	399756	OF98
+	83	15789742	-	VNG0516H	-	-	hypothetical protein	399808	400059	OF98
-	37	15789743	-	VNG0518H	-	-	hypothetical protein	400501	400614	OR1
-	61	15789744	-	VNG0520H	-	-	hypothetical protein	400823	401008	OR1
+	901	15789745	polB1	VNG0521G	-	COG0417L	DNA polymerase B1	401122	403827	OF99
-	247	15789746	inb	VNG0523G	-	COG4221R	oxidoreductase-like protein	403843	404586	OR1
+	308	15789747	yurY	VNG0524G	-	COG0396O	ABC transporter ATP-binding protein	404888	405814	OF100
+	474	15789748	-	VNG0525C	-	COG0719O	hypothetical protein	405851	407275	OF100
+	404	15789749	-	VNG0527C	-	COG0719O	hypothetical protein	407277	408491	OF100
-	168	15789750	-	VNG0529H	-	-	hypothetical protein	408654	409160	OR1
+	144	15789751	troR	VNG0530G	-	COG1321K	hypothetical protein	409159	409593	OF100
-	125	15789752	-	VNG0532H	-	-	hypothetical protein	410039	410416	OR1
+	237	15789753	-	VNG0533H	-	COG2013S	hypothetical protein	410415	411128	OF101
+	210	15789754	-	VNG0534C	-	COG1418R	hypothetical protein	411371	412003	OF102
-	96	15789755	-	VNG0535C	-	COG2119S	hypothetical protein	412027	412317	OR1
-	233	15789756	sirR	VNG0536G	-	COG1321K	transcription repressor	412713	413414	OR1
-	904	15789757	-	VNG0537C	-	COG4666R	hypothetical protein	413539	416253	OR1
-	163	15789758	-	VNG0539C	-	COG4729S	hypothetical protein	416246	416737	OR1
-	318	15789759	imp	VNG0540G	-	COG2358R	hypothetical protein	416799	417755	OR1
-	398	15789760	thrC2	VNG0541G	-	COG0498E	hypothetical protein	417903	419099	OR1
+	430	15789761	-	VNG0542C	-	COG1233Q	hypothetical protein	419196	420488	OF103
-	132	15789762	-	VNG0543H	-	COG1407R	hypothetical protein	420476	420874	OR1
+	135	15789763	-	VNG0544H	-	-	hypothetical protein	421208	421615	OF104
-	250	15789764	-	VNG0546C	-	COG2047R	hypothetical protein	421905	422657	OR1
-	60	15789765	-	VNG0548C	-	COG2260J	H/ACA RNA-protein complex component Nop10p	422662	422844	OR1
-	267	15789766	eif2a	VNG0549G	-	COG1093J	translation initiation factor IF-2 subunit alpha	422844	423647	OR1
-	57	15789767	rps27e	VNG0550G	-	COG2051J	30S ribosomal protein S27	423644	423817	OR1
-	61	15789768	rpl44e	VNG0551G	-	COG1631J	50S ribosomal protein L44E	423822	424007	OR1
+	559	15789769	-	VNG0553C	-	-	hypothetical protein	424253	425932	OF105
-	840	15789770	-	VNG0555C	-	COG5427S	hypothetical protein	425790	428312	OR1
+	518	15789771	sgb	VNG0556G	-	COG2244R	succinoglycan biosynthesis transport protein	428425	429981	OF106
-	226	15789772	-	VNG0557H	-	COG0693R	hypothetical protein	430285	430965	OR1
-	188	15789773	apt	VNG0559G	-	COG0503F	adenine phosphoribosyltransferase	431034	431600	OR1
-	594	15789774	-	VNG0560C	-	COG0651CP	monovalent cation/H+ antiporter subunit D	431659	433443	OR1
-	539	161349984	-	VNG0562C	-	COG0651CP	monovalent cation/H+ antiporter subunit D	433440	435059	OR1
-	380	15789776	ndhG2	VNG0563G	-	COG0651CP	NADH dehydrogenase/oxidoreductase	435056	436198	OR1
-	118	15789777	-	VNG0565C	-	COG1006P	monovalent cation/H+ antiporter subunit C	436530	436886	OR1
-	155	15789778	-	VNG0564H	-	COG2111P	monovalent cation/H+ antiporter subunit B	436883	437350	OR1
-	176	15789779	-	VNG0566C	-	COG2111P	monovalent cation/H+ antiporter subunit B	437347	437877	OR1
-	108	16554471	mnhG	VNG0570Hm	-	COG1320P	monovalent cation/H+ antiporter subunit G	437874	438200	OR1
-	91	161349983	-	VNG0568C	-	COG2212P	monovalent cation/H+ antiporter subunit F	438197	438472	OR1
-	364	15789782	-	VNG0571C	-	COG1863P	monovalent cation/H+ antiporter subunit E	438469	439563	OR1
-	392	15789783	dfp	VNG0572G	-	COG0452H	hypothetical protein	439733	440911	OR1
-	230	15789784	-	VNG0573C	-	COG3794C	hypothetical protein	441519	442211	OR1
+	85	15789785	-	VNG0574C	-	COG4746S	hypothetical protein	442210	442467	OF107
+	433	15789786	ywaD	VNG0575G	-	COG2234R	aminopeptidase	442518	443819	OF108
+	126	15789787	-	VNG0576C	-	COG0061G	hypothetical protein	444303	444683	OF109
+	146	15789788	-	VNG0578H	-	-	hypothetical protein	444728	445168	OF109
-	86	15789789	-	VNG0579H	-	-	hypothetical protein	445263	445523	OR1
-	95	15789790	-	VNG0581H	-	-	hypothetical protein	445516	445803	OR1
-	254	15789791	-	VNG0582C	-	COG1290C	hypothetical protein	445897	446661	OR1
-	270	15789792	cyb	VNG0583G	-	COG1290C	cytochrome b6	446666	447478	OR1
-	276	15789793	-	VNG0584H	-	COG0723C	hypothetical protein	447481	448311	OR1
-	128	15789794	-	VNG0585H	-	-	hypothetical protein	448314	448700	OR1
-	229	15789795	-	VNG0586C	-	COG3794C	hypothetical protein	448700	449389	OR1
-	303	15789796	-	VNG0587H	-	-	hypothetical protein	449465	450376	OR1
+	162	15789797	-	VNG0590H	-	-	hypothetical protein	450472	450960	OF109
-	214	15789798	-	VNG0591C	-	COG1777K	hypothetical protein	450957	451601	OR1
-	227	15789799	nthA2	VNG0592G	-	COG0177L	endonuclease III	451701	452384	OR1
+	334	15789800	dmd	VNG0593G	-	COG3407I	diphosphomevalonate decarboxylase	452465	453469	OF110
+	108	15789801	-	VNG0594H	-	-	hypothetical protein	454135	454461	OF111
-	204	15789802	-	VNG0595H	-	COG0346E	hypothetical protein	454472	455086	OR1
+	51	15789803	-	VNG0596H	-	-	hypothetical protein	455876	456031	OF112
+	133	15789804	-	VNG0597H	-	-	hypothetical protein	456082	456483	OF113
-	330	15789805	-	VNG0598C	-	COG0438M	hypothetical protein	456480	457472	OR1
-	361	15789806	-	VNG0600C	-	COG0438M	hypothetical protein	457591	458676	OR1
+	93	15789807	-	VNG0599C	-	COG2023J	hypothetical protein	458746	459027	OF114
+	80	15789808	-	VNG0601H	-	COG1534J	hypothetical protein	459075	459317	OF114
-	153	15789809	-	VNG0602C	-	COG0589T	hypothetical protein	459333	459794	OR1
+	93	15789810	-	VNG0604H	-	-	hypothetical protein	460447	460728	OF114
+	274	15789811	yrhA	VNG0606G	-	COG0031E	cysteine synthase	460913	461737	OF115
-	137	15789812	-	VNG0608C	-	COG1832R	hypothetical protein	461747	462160	OR1
-	215	15789813	-	VNG0609C	-	COG0467T	hypothetical protein	462193	462840	OR1
-	280	15789814	ubiA	VNG0610G	-	COG0382H	prenyltransferase	462955	463797	OR1
+	326	15789815	-	VNG0611H	-	-	hypothetical protein	464523	465503	OF116
-	64	15789816	-	VNG0612H	-	-	hypothetical protein	466389	466583	OR1
-	144	15789817	-	VNG0613H	-	-	hypothetical protein	466928	467362	OR1
-	628	15789818	htr16	VNG0614G	-	COG0840NT	Htr16	467390	469276	OR1
-	545	15789819	-	VNG0615C	-	COG0569P	hypothetical protein	469912	471549	OR1
-	285	15789820	-	VNG0617H	-	-	hypothetical protein	471670	472527	OR1
-	300	15789821	edp	VNG0620G	-	COG0616OU	proteinase IV-like protein	472598	473500	OR1
-	342	15789822	-	VNG0622H	-	COG3380R	hypothetical protein	473684	474712	OR1
+	591	15789823	yngE	VNG0623G	-	COG4799I	propionyl-CoA carboxylase-like protein	474797	476572	OF117
-	109	15789824	-	VNG0624H	-	-	hypothetical protein	476591	476920	OR1
-	157	15789825	maoC2	VNG0626G	-	COG2030I	molybdenum cofactor biosynthesis protein	477027	477500	OR1
+	303	15789826	citE	VNG0627G	-	COG2301G	hypothetical protein	477499	478410	OF118
+	372	15789827	gdhA1	VNG0628G	-	COG0334E	glutamate dehydrogenase	478615	479733	OF119
-	380	15789828	aspB2	VNG0629G	-	COG0436E	aspartate aminotransferase	479857	480999	OR1
-	133	15789829	ribH	VNG0630G	-	COG0054H	6,7-dimethyl-8-ribityllumazine synthase	480996	481397	OR1
+	604	15789830	-	VNG0631C	-	COG4745O	hypothetical protein	481425	483239	OF120
+	364	15789831	purK	VNG0632G	-	COG0026F	phosphoribosylaminoimidazole carboxylase ATP binding subunit	483366	484460	OF121
+	203	15789832	purE	VNG0633G	-	COG0041F	hypothetical protein	484457	485068	OF121
+	136	15789833	nolB	VNG0635G	-	COG0838C	NADH dehydrogenase/oxidoreductase-like protein	485194	485604	OF121
+	235	15789834	ndhG1	VNG0636G	-	COG0377C	NADH dehydrogenase/oxidoreductase	485597	486304	OF121
+	562	15789835	ndhG5	VNG0637G	-	COG0649C	NADH dehydrogenase/oxidoreductase	486301	487989	OF121
+	314	15789836	ndhG4	VNG0639G	-	COG1005C	NADH dehydrogenase/oxidoreductase	488101	489045	OF121
+	153	15789837	nolD	VNG0640G	-	COG1143C	NADH dehydrogenase/oxidoreductase-like protein	489042	489503	OF121
+	86	15789838	-	VNG0641C	-	COG0839C	NADH dehydrogenase subunit J	489561	489821	OF121
+	77	15789839	-	VNG0642C	-	COG0839C	hypothetical protein	489893	490126	OF122
+	100	15789840	nolC	VNG0643G	-	COG0713C	NADH dehydrogenase/oxidoreductase-like protein	490126	490428	OF122
+	692	15789841	nuoL	VNG0646G	-	COG1009CP	F420H2:quinone oxidoreductase subunit L	490430	492508	OF122
+	519	15789842	nuoM	VNG0647G	-	COG1008C	F420H2:quinone oxidoreductase subunit M	492509	494068	OF122
+	403	15789843	ndhG3	VNG0648G	-	COG1007C	NADH dehydrogenase/oxidoreductase	494341	495552	OF122
+	477	15789844	-	VNG0650C	-	COG0618R	hypothetical protein	495620	497053	OF123
+	272	15789845	imd1	VNG0651G	-	COG2239P	inosine-5'-monophosphate dehydrogenase	497085	497903	OF123
+	49	15789846	-	VNG0652H	-	-	hypothetical protein	498002	498151	OF123
+	526	15789847	mcmA1	VNG0653G	-	COG1884I	methylmalonyl-CoA mutase subunit alpha	498404	499984	OF124
-	247	15789848	-	VNG0654C	-	COG0456R	hypothetical protein	499989	500732	OR1
-	79	15789849	-	VNG0656H	-	-	hypothetical protein	500787	501026	OR1
-	593	15789850	coxA2	VNG0657G	-	COG0843C	cytochrome c oxidase subunit I	501272	503053	OR1
-	75	15789851	-	VNG0659H	-	-	hypothetical protein	503179	503406	OR1
-	128	15789852	-	VNG0660H	-	-	hypothetical protein	503448	503834	OR1
+	285	15789853	coxC	VNG0662G	-	COG1845C	cytochrome c oxidase subunit III	503953	504810	OF125
+	282	15789854	birL	VNG0664G	-	COG0340H	biotin acetyl-CoA carboxylase ligase	504860	505708	OF125
-	255	15789855	coxB1	VNG0665G	-	COG1622C	cytochrome c oxidase subunit II	505709	506476	OR1
+	442	15789856	ctaB	VNG0666G	-	COG0109O	heme synthase	506634	507962	OF125
+	218	15789857	trp4	VNG0667G	-	-	ABC transporter ATP-binding protein	507963	508619	OF125
+	298	15789858	-	VNG0668C	-	COG1131V	hypothetical protein	508660	509556	OF125
+	249	15789859	-	VNG0669H	-	COG0842V	hypothetical protein	509553	510302	OF125
-	159	15789860	-	VNG0670H	-	-	hypothetical protein	510308	510787	OR1
-	202	15789861	-	VNG0671H	-	COG2322S	hypothetical protein	510805	511413	OR1
+	138	15789862	mcmA2	VNG0673G	-	COG2185I	methylmalonyl-CoA mutase	511535	511951	OF125
+	324	15789863	-	VNG0674C	-	COG1703E	hypothetical protein	511953	512927	OF125
+	310	15789864	-	VNG0675C	-	COG0596R	hypothetical protein	512985	513917	OF125
-	127	15789865	-	VNG0676C	-	COG1545R	hypothetical protein	513894	514277	OR1
-	395	15789866	acaB1	VNG0678G	-	COG0183I	3-ketoacyl-CoA thiolase	514274	515461	OR1
-	95	15789867	-	VNG0677H	-	-	hypothetical protein	515503	515790	OR1
-	397	15789868	acd4	VNG0679G	-	COG1960I	acyl-CoA dehydrogenase	515836	517029	OR1
+	390	15789869	fdfT	VNG0680G	-	COG1562I	farnesyl-diphosphate farnesyltransferase	516984	518156	OF126
-	286	15789870	hbd1	VNG0681G	-	COG1250I	3-hydroxyacyl-CoA dehydrogenase	518183	519043	OR1
+	274	15789871	-	VNG0682C	-	-	hypothetical protein	518991	519815	OF127
+	263	15789872	-	VNG0683C	-	COG1830G	hypothetical protein	519914	520705	OF128
+	287	15789873	fbp	VNG0684G	-	COG0158G	fructose-1,6-bisphosphatase	520705	521568	OF128
+	229	15789874	-	VNG0686C	-	COG2135S	hypothetical protein	521594	522283	OF128
+	270	15789875	-	VNG0688H	-	-	hypothetical protein	522644	523456	OF128
+	287	15789876	trp5	VNG0689G	-	COG1131V	ABC transporter ATP-binding protein	523515	524378	OF129
+	579	15789877	-	VNG0690C	-	COG1668CP	hypothetical protein	524375	526114	OF129
+	156	15789878	-	VNG0692C	-	COG1668CP	hypothetical protein	526686	527156	OF129
+	138	15789879	nthB	VNG0694G	-	COG1833S	hypothetical protein	527209	527625	OF130
-	38	15789880	-	VNG0697H	-	-	hypothetical protein	527663	527779	OR1
-	221	15789881	-	VNG0698H	-	COG0467T	hypothetical protein	527835	528500	OR1
+	857	15789882	yvgX	VNG0700G	-	COG2217P	molybdenum-binding protein	528770	531343	OF131
+	68	15789883	-	VNG0702H	-	COG2608P	hypothetical protein	531405	531611	OF132
+	94	15789884	-	VNG0703H	-	COG2390K	hypothetical protein	531750	532034	OF133
-	123	15789885	-	VNG0704C	-	COG1733K	hypothetical protein	532038	532409	OR1
-	503	15789886	-	VNG0705C	-	COG3046R	hypothetical protein	532495	534006	OR1
+	199	15789887	-	VNG0707C	-	COG1573L	hypothetical protein	534180	534779	OF134
+	182	15789888	-	VNG0708H	-	-	hypothetical protein	534840	535388	OF135
+	328	15789889	-	VNG0709C	-	COG0491R	hypothetical protein	535522	536508	OF136
+	193	15789890	-	VNG0711C	-	COG1225O	hypothetical protein	536584	537165	OF137
+	231	15789891	-	VNG0713C	-	COG4122R	hypothetical protein	537212	537907	OF137
+	476	15789892	thiC	VNG0715G	-	COG0422H	thiamine biosynthesis protein ThiC	537985	539415	OF137
-	542	15789893	afsQ2	VNG0716G	-	COG0642T	sensory histidine protein kinase-like protein	539412	541040	OR1
+	108	15789894	-	VNG0717H	-	-	hypothetical protein	541134	541460	OF138
-	225	15789895	-	VNG0718C	-	COG0561R	hypothetical protein	541473	542150	OR1
+	288	15789896	araL	VNG0719G	-	COG0647G	L-arabinose operon protein	542178	543044	OF139
-	489	15789897	dip2	VNG0720G	-	COG0534V	DNA damage-inducible protein	543049	544518	OR1
-	369	15789898	pepQ1	VNG0723G	-	COG0006E	peptidase	544564	545673	OR1
+	86	15789899	-	VNG0724H	-	-	hypothetical protein	545760	546020	OF140
+	302	15789900	-	VNG0725H	-	COG0640K	hypothetical protein	546070	546978	OF140
-	196	15789901	-	VNG0726C	-	COG1309K	hypothetical protein	546988	547578	OR1
+	494	15789902	-	VNG0727C	-	COG0534V	hypothetical protein	547992	549476	OF140
+	205	15789903	-	VNG0729H	-	-	hypothetical protein	549641	550258	OF141
-	303	15789904	-	VNG0730C	-	COG1893H	hypothetical protein	550255	551166	OR1
+	156	15789905	-	VNG0731H	-	-	hypothetical protein	551252	551722	OF142
-	378	15789906	tpc	VNG0732G	-	COG0430A	RNA 3'-terminal-phosphate cyclase	551723	552859	OR1
+	189	15789907	-	VNG0733H	-	COG3358S	hypothetical protein	552804	553373	OF143
-	325	15789908	tfbB	VNG0734G	-	COG1405K	transcription initiation factor IIB	553409	554386	OR1
+	195	15789909	hlx2	VNG0735G	-	COG2204T	Hlx2	554704	555291	OF144
+	637	15789910	kinA2	VNG0736G	-	COG0642T	signal-transducing histidine kinase-like protein	555295	557208	OF144
-	147	15789911	-	VNG0738H	-	-	hypothetical protein	557214	557657	OR1
+	74	15789912	-	VNG0737H	-	-	hypothetical protein	557749	557973	OF144
-	210	15789913	-	VNG0740C	-	COG1878R	hypothetical protein	557985	558617	OR1
+	100	15789914	-	VNG0741H	-	-	hypothetical protein	558704	559006	OF145
-	234	15789915	-	VNG0742H	-	COG4250T	hypothetical protein	559020	559724	OR1
+	169	15789916	-	VNG0743H	-	COG0589T	hypothetical protein	559752	560261	OF146
-	660	15789917	spoVR	VNG0745G	-	COG2719S	hypothetical protein	560272	562254	OR1
-	442	15789918	-	VNG0746C	-	COG2718S	hypothetical protein	562241	563569	OR1
-	737	15789919	prkA	VNG0748G	-	COG2766T	hypothetical protein	563560	565773	OR1
-	685	15789920	prk	VNG0749G	-	COG2766T	serine protein kinase	565827	567884	OR1
+	239	15789921	-	VNG0750C	-	COG1956T	hypothetical protein	568228	568947	OF147
+	104	15789922	-	VNG0751C	-	COG1695K	hypothetical protein	569022	569336	OF148
-	314	15789923	galE1	VNG0752G	-	COG0451MG	UDP-glucose 4-epimerase	569376	570320	OR1
-	392	15789924	ylnA	VNG0753G	-	COG0306P	anion permease	570402	571580	OR1
-	267	15789925	-	VNG0754C	-	COG5271R	hypothetical protein	571614	572417	OR1
+	208	15789926	-	VNG0755C	-	COG1303S	tRNA 2'-O-methylase	572416	573042	OF149
+	181	15789927	tfeA	VNG0757G	-	COG1675K	transcription initiation factor IIE alpha subunit	573224	573769	OF150
+	223	15789928	-	VNG0758C	-	COG4044S	hypothetical protein	573769	574440	OF150
+	241	15789929	-	VNG0759H	-	-	hypothetical protein	574437	575162	OF150
+	231	15789930	dip3	VNG0761G	-	COG1058R	competence-damage protein CinA-like	575197	575892	OF150
-	37	15789931	-	VNG0762H	-	-	hypothetical protein	575902	576015	OR1
+	208	15789932	ybjG	VNG0763G	-	COG0671I	hypothetical protein	576121	576747	OF150
+	358	15789933	-	VNG0764C	-	COG3199S	hypothetical protein	576838	577914	OF151
-	58	15789934	-	VNG0765H	-	-	hypothetical protein	577924	578100	OR1
+	342	15789935	prp2	VNG0766G	-	COG0704P	phosphate regulatory protein-like protein	578203	579231	OF152
+	59	15789936	-	VNG0767H	-	-	hypothetical protein	579298	579477	OF153
+	74	15789937	-	VNG0768H	-	-	hypothetical protein	579518	579742	OF153
+	136	15789938	-	VNG0769H	-	COG3427S	hypothetical protein	579788	580198	OF153
-	503	15789939	aldY2	VNG0771G	-	COG1012C	AldY2	580451	581962	OR1
-	328	16554472	-	VNG0772a	-	COG3642T	hypothetical protein	582038	583024	OR1
+	379	15789941	acd2	VNG0775G	-	COG1960I	acyl-CoA dehydrogenase	583046	584185	OF153
-	146	15789942	taqD	VNG0777G	-	COG0615MI	glycerol-3-phosphate cytidyltransferase	584205	584645	OR1
-	161	15789943	-	VNG0778C	-	COG1310R	hypothetical protein	584642	585127	OR1
+	604	15789944	-	VNG0779C	-	COG1107L	hypothetical protein	585235	587049	OF154
+	58	15789945	-	VNG0780H	-	COG1107L	hypothetical protein	586952	587128	OF154
-	433	15789946	-	VNG0782H	-	COG1413C	hypothetical protein	588702	590003	OR1
-	225	15789947	pssA	VNG0784G	-	COG1183I	CDP-diacylglycerol-serine O-phosphatidyltransferase	590056	590733	OR1
+	149	15789948	pcy	VNG0786G	-	COG3794C	plastocyanin-like protein	590830	591279	OF154
-	206	15789949	rps3e	VNG0787G	-	COG1890J	30S ribosomal protein S3	591340	591960	OR1
-	53	15789950	-	VNG0788H	-	-	hypothetical protein	591957	592118	OR1
